"","V1","session","num","rawTitles","real.title","dist","auth","tweet"
"22","Aleksandrs Berdicevskis and Hanne Eckhoff: REDUNDANT FEATURES ARE LESS LIKELY TO SURVIVE: EMPIRICAL EVIDENCE FROM THE SLAVIC LANGUAGES",6,85,"redundant features are less likely to survive empirical evidence from the slavic languages","Redundant features are less likely to survive: empirical evidence from the slavic languages",1,"Berdicevskis, Eckhoff","We predict the survival and death of morphological features across modern Slavic languages by measuring their redundancy in Common Slavic"
"23","Molly Flaherty, Katelyn Stangl and Susan Goldin-Meadow: DO LAB ATTESTED BIASES PREDICT THE STRUCTURE OF A NEW NATURAL LANGUAGE?",6,96,"do lab attested biases predict the structure of a new natural language?","Do lab attested biases predict the structure of a new natural language?",0,"Flaherty, Stangl, Goldin-Meadow",""
"24","Audra Ames, Sara Wielandt, Dianne Cameron and Stan Kuczaj: PRE AND POST PARTUM WHISTLE PRODUCTION OF A BOTTLENOSE DOLPHIN (TURSIOPS TRUNCATUS) MOTHER-CALF DYAD",6,102,"pre and post partum whistle production of a bottlenose dolphin (tursiops truncatus) mother-calf dyad","Pre and post partum whistle production of a bottlenose dolphin (tursiops truncatus) mother-calf dyad",0,"Ames, Wielandt, Cameron, Kuczaj",""
"25","￼￼Carmen Saldana, Simon Kirby and Kenny Smith: THE CULTURAL EVOLUTION OF COMPLEXITY IN LINGUISTIC STRUCTURE",7,49,"the cultural evolution of complexity in linguistic structure","The cultural evolution of complexity in linguistic structure",0,"Saldana, Kirby, Smith","Complex constituent structure evolves through cultural evolution from the trade-off between compressibility and expressivity."
"26","Johannes Dellert: USING CAUSAL INFERENCE TO DETECT DIRECTIONAL TENDENCIES IN SEMANTIC EVOLUTION",7,139,"using causal inference to detect directional tendencies in semantic evolution","Using causal inference to detect directional tendencies in semantic evolution",0,"Dellert","How causal inference can be used to extract hypotheses about semantic evolution from synchronic polysemies."
"27","￼￼￼Lynn Perry, Marcus Perlman, Gary Lupyan, Bodo Winter and Dominic Massaro: EARLY LEARNED WORDS ARE MORE ICONIC",7,34,"early learned words are more iconic","Early learned words are more iconic",0,"Perry, Perlman, Lupyan, Winter, Massaro","English-speaking children learn highly iconic words earlier and produce them more frequently than less iconic words"
"28","Marlen Fröhlich, Paul H. Kuchenbuch, Gudrun Müller, Barbara Fruth, Takeshi Furuichi, Roman M. Wittig, and Simone Pika: COOPERATIVE COMMUNICATION AND COMMUNICATION STYLES IN BONOBOS AND CHIMPANZEES IN THE WILD: SAME SAME BUT DIFFERENT?",7,75,"cooperative communication and communication styles in bonobos and chimpanzees in the wild same same but different?","Cooperative communication and communication styles in bonobos and chimpanzees in the wild: same same but different?",1,"Fröhlich, Kuchenbuch, Müller, Fruth, Furuichi, Wittig, Pika",""
"29","￼￼￼￼￼￼Gareth Roberts and Mariya Fedzechkina: SOCIAL BIASES VERSUS EFFICIENT COMMUNICATION: AN ITERATED LEARNING STUDY",8,127,"social biases versus efficient communication an iterated learning study","Social biases versus efficient communication: an iterated learning study",1,"Roberts, Fedzechkina","An experiment on how opposing biases interact in the cultural evolution of language."
"30","Francesca Tria, Vittorio Loreto, Vito Servedio and S. Mufwene Salikoko: MODELING THE EMERGENCE OF CREOLE LANGUAGES",8,89,"modeling the emergence of creole languages","Modeling the emergence of creole languages",0,"Tria, Loreto, Servedio, Salikoko","A simple language game, enriched by a suitable contact ecology, predicts the emergence of creole languages in agreement with real data."
"31","￼Tessa Verhoef, Carol Padden and Simon Kirby: ICONICITY, NATURALNESS AND SYSTEMATICITY IN THE EMERGENCE OF SIGN LANGUAGE STRUCTURE",8,47,"iconicity, naturalness and systematicity in the emergence of sign language structure","Iconicity, naturalness and systematicity in the emergence of sign language structure",0,"Verhoef, Padden, Kirby","Conventions in sign languages emerge in the context of a subtle interplay between iconicity, systematicity and naturalness."
"32","Buddhamas Kriengwatana, Paola Escudero, Anne Kerkhoven and Carel ten Cate: A general auditory bias for handling speaker variablility in speech?  Evidence in humans and songbirds",8,29,"a general auditory bias for handling speaker variablility in speech?  evidence in humans and songbirds","A general auditory bias for handling speaker variability in speech? evidence in humans and songbirds. ",4,"Kriengwatana, Escudero, Kerkhoven, ten Cate",""
"33","￼￼￼￼Stefan Hartmann, Peeter Tinits, Jonas Nölle, Thomas Hartmann and Michael Pleyer: PLAIN SIMPLE COMPLEX STRUCTURES: THE EMERGENCE OF OVERSPECIFICATION IN AN ITERATED LEARNING SETUP",9,144,"plain simple complex structures the emergence of overspecification in an iterated learning setup","Plain simple complex structures: the emergence of overspecification in an iterated learning setup",1,"Hartmann, Tinits, Nölle, Hartmann, Pleyer","Overspecification makes languages more complex - but given contextual pressures, complex structures can sometimes be the simpler solution."
"34","Gary Lupyan and Justin Sulik: THE EVOLUTION OF REDUNDANCY IN A GLOBAL LANGUAGE",9,197,"the evolution of redundancy in a global language","The evolution of redundancy in a global language",0,"Lupyan, Sulik","What makes American English different from British English? Kids have something to do with it!"
"35","Casey Lister, Tiarn Burtenshaw, Nicolas Fay, Bradley Walker and Jeneva Ohan: A Developmental perspective on language origin children are old hands at gesture",9,95,"a developmental perspective on language origin children are old hands at gesture","A developmental perspective on language origin: children are old hands at gesture",1,"Lister, Burtenshaw, Fay, Walker, Ohan","Do children communicate more successfully through gestures or sounds? A developmental perspective on sign creation and iconicity among 6-12 year olds."
"36","Albert Naccache: A SOCIAL DIMENSION OF LANGUAGE EVOLUTION￼￼￼",9,30,"a social dimension of language evolution￼￼￼","A social dimension of language evolution",3,"Naccache","Plots evolution of Homo speech community size + points out main inflection points correlated with development of human communication system"
"37","￼￼￼￼￼Jon W. Carr, Kenny Smith, Hannah Cornish and Simon Kirby: CULTURAL EVOLUTION AND COMMUNICATION YIELD STRUCTURED LANGUAGES IN AN OPEN-ENDED WORLD",10,74,"cultural evolution and communication yield structured languages in an open-ended world","Cultural evolution and communication yield structured languages in an open-ended world",0,"Carr, Smith, Cornish, Kirby","Iterated learning + communication in open-ended meaning space gives rise to languages with sublexical structure like that in real languages"
"38","Kazuo Okanoya: DOMESTICATION AND EVOLUTION OF SIGNAL COMPLEXITY IN FINCHES",10,138,"domestication and evolution of signal complexity in finches","Domestication and evolution of signal complexity in finches",0,"Okanoya",""
"39","Ekaterina Abramova: TRIADIC ONTOGENETIC RITUALIZATION: AN OVERLOOKED POSSIBILITY",10,37,"triadic ontogenetic ritualization an overlooked possibility","Triadic ontogenetic ritualization: an overlooked possibility",1,"Abramova","Triadic ontogenetic ritualization could lead to gestural protolanguage in the context of joint tool use. No need for communicative intentions."
"40","￼￼Joana Rosselló: VOCAL LEARNING AND HOMO LOQUENS",10,196,"vocal learning and homo loquens","Vocal learning and homo loquens",0,"Rosselló",""
"41","Maggie Tallerman:. AGAINST THE EMERGENT VIEW OF LANGUAGE EVOLUTION",11,6,"na maggie tallerman:. against the emergent view of language evolution","Against the emergent view of language evolution",22,"Tallerman","Under a gradualist rather than an emergent view of language evolution, we can see how functional elements and linguistic morphology evolved."
"42","￼Federica Cavicchio, Livnat Leemor, Simone Schamay-Tsoory and Wendy Sandler: ARE EMOTIONAL DISPLAYS AN EVOLUTIONARY PRECURSOR TO COMPOSITIONALITY IN LANGUAGE?",11,132,"are emotional displays an evolutionary precursor to compositionality in language?","Are emotional displays an evolutionary precursor to compositionality in language?",0,"Cavicchio, Leemor, Shamay-Tsoory, Sandler",""
"43","Andreea Geambasu, Michelle J. Spierings, Carel ten Cate and Clara C. Levelt: EFFECTS OF TASK-SPECIFIC VARIABLES ON AUDITORY ARTIFICIAL GRAMMAR LEARNING AND GENERALIZATION",11,161,"effects of task-specific variables on auditory artificial grammar learning and generalization","Effects of task-specific variables on auditory artificial grammar learning and generalization",0,"Geambasu, Spierings, ten Cate, Levelt",""
"44","Sabine van der Ham, Bill Thompson and Bart de Boer: CATEGORY LEARNING IN SOUND, SENSE AND VISION",11,38,"category learning in sound, sense and vision","Catergory learning in audition, touch, and vision",15,"van der Ham, Thompson, de Boer","Learning bimodal distributions of auditory, visual, and tactile signals: is category learning specialized for speech?"
"45","￼￼Pierce Edmiston, Marcus Perlman and Gary Lupyan: THE FIDELITY OF ITERATED VOCAL IMITATION",12,189,"the fidelity of iterated vocal imitation","The fidelity of iterated vocal imitation",0,"Edmiston, Perlman, Lupyan","We implemented the childhood game of telephone online to conduct large experiments on the process by which iterated imitation becomes language."
"46","Ashley Micklos: INTERACTION FOR FACILITATING CONVENTIONALIZATION: NEGOTIATING THE SILENT GESTURE COMMUNICATION OF NOUN- VERB PAIRS",12,143,"interaction for facilitating conventionalization negotiating the silent gesture communication of noun- verb pairs","Interaction for facilitating conventionalization: negotiating the silent gesture communication of noun-verb pairs",2,"Micklos",""
"47","Jasmeen Kanwal, Kenny Smith, Jennifer Culbertson and Simon Kirby: THE EVOLUTION OF ZIPF'S LAW OF ABBREVIATION",12,64,"the evolution of zipf's law of abbreviation","The evolution of zipf’s law of abbreviation",1,"Kanwal, Smith, Culbertson, Kirby",""
"48","￼Anu Vastenius, Jordan Zlatev and Joost Van de Weijer: CONSTITUENT ORDER IN PICTORIAL REPRESENTATIONS OF EVENTS IS INFLUENCED BY LANGUAGE",12,116,"constituent order in pictorial representations of events is influenced by language","Constituent order in pictorial representations of events is influenced by language",0,"Vastenius, Zlatev, Van de Weijer",""
"49","Michelle Spierings and Carel ten Cate: RULE LEARNING IN BIRDS: ZEBRA FINCHES GENERALIZE BY POSITIONAL SIMILARITIES, BUDGERIGARS BY THE STRUCTURAL RULES.",13,15,"rule learning in birds zebra finches generalize by positional similarities, budgerigars by the structural rules.","Rule learning in birds: zebra finches generalize by positional similarities, budgerigars by the structural rules.",1,"Spierings, ten Cate","Budgerigars can learn abstract rules in acoustic strings, zebra finches focus on the positional information."
"50","Mark Atkinson, Simon Kirby and Kenny Smith: ADULT LANGUAGE LEARNING AND THE EVOLUTION OF LINGUISTIC COMPLEXITY",13,48,"adult language learning and the evolution of linguistic complexity","Adult language learning and the evolution of linguistic complexity",0,"Atkinson, Smith, Kirby",""
"51","Molly Lewis and Michael C. Frank: LEARNABILITY PRESSURES INFLUENCE THE ENCODING OF INFORMATION DENSITY IN THE LEXICON",13,154,"learnability pressures influence the encoding of information density in the lexicon","Learnability pressures influence the encoding of information density in the lexicon",0,"Lewis, Frank","Learnability pressures influence the encoding of information density in the lexicon: Languages with more speakers have less uniform lexica"
"52","￼Bill Noble and Raquel Fernández: SEMANTIC APPROXIMATION AND ITS EFFECT ON THE DEVELOPMENT OF LEXICAL CONVENTIONS",13,35,"semantic approximation and its effect on the development of lexical conventions","Semantic approximation and its effect on the development of lexical conventions",0,"Noble, Fernández","Signaling games simulations suggest that discourse-level semantic approximation helps to explain community-level lexical ambiguity."
"53","Simon Townsend, Andrew Russell and Sabrina Engesser: EXPERIMENTAL EVIDENCE FOR PHONEMIC-LIKE CONTRASTS IN A NONHUMAN VOCAL SYSTEM",14,111,"experimental evidence for phonemic-like contrasts in a nonhuman vocal system","Experimental evidence for phonemic-like contrasts in a nonhuman vocal system",0,"Townsend, Russell, Engesser",""
"54","Hélène Cochet and Richard Byrne: RELATIONSHIP BETWEEN NONVERBAL SOCIAL SKILLS AND LANGUAGE DEVELOPMENT",14,32,"relationship between nonverbal social skills and language development","Relationship between nonverbal social skills and language development",0,"Cochet, Byrne",""
"55","Maryia Fedzechkina, Becky Chu, T. Florian Jaeger and John Trueswell: PROCESSING PREFERENCES SHAPE LANGUAGE CHANGE",14,101,"processing preferences shape language change","Processing preferences shape language change",0,"Fedzechkina, Chu, Jaeger, Trueswell",""
"56","￼Luke Fleming: PHONEME INVENTORY SIZE DISTRIBUTIONS AND THE ORIGINS OF THE DUALITY OF PATTERNING",14,12,"phoneme inventory size distributions and the origins of the duality of patterning","Phoneme inventory size distributions and the origins of the duality of patterning",0,"Fleming","Extra-large phoneme inventories of southern African languages are the trace of the origin of the duality of patterning."
"57","Andrea Ravignani, Tania Delgado and Simon Kirby: THE CULTURAL EVOLUTION OF STRUCTURE IN MUSIC AND LANGUAGE",15,14,"the cultural evolution of structure in music and language","The cultural evolution of structure in music and language",0,"Ravignani, Delgado, Kirby",""
"58","Adrien Meguerditchian, Damien Marie, Konstantina Margiotoudi, Scott A. Love, Alice Bertello, Romain Lacoste, Muriel Roth, Bruno Nazarian, Jean-Luc Anton and Olivier Coulon: HUMAN-LIKE BRAIN SPECIALIZATION IN BABOONS: AN INVO ANATOMICAL MRI STUDY OF LANGUAGE AREAS HOMOLOGS IN 96 SUBJECTS",15,167,"human-like brain specialization in baboons an invo anatomical mri study of language areas homologs in 96 subjects","Human-like brain specialization in baboons: an invo anatomical mri study of language areas homologs in 96 subjects",1,"Meguerditchian, Marie, Margiotoudi, Love, Bertello, Lacoste, Roth, Nazarian, Anton, Coulon",""
"59","T. Florian Jaeger and Maryia Fedzechkina: EFFORT VS. ROBUST INFORMATION TRANSFER IN LANGUAGE EVOLUTION",15,100,"effort vs. robust information transfer in language evolution","Effort vs. robust information transfer in language evolution",0,"Jaeger, Fedzechkina",""
"60","Hermann Ackermann and Wolfram Ziegler: BRAIN MECHANISMS OF HUMAN ACOUSTIC COMMUNICATION: A PHYLOGENETIC APPROACH AND ITS ONTOGENETIC IMPLICATIONS",15,11,"brain mechanisms of human acoustic communication a phylogenetic approach and its ontogenetic implications","Brain mechanisms of human acoustic communication: a phylogenetic approach and its ontogenetic implications ",2,"Ackermann, Ziegler",""
"61","￼￼￼￼Rie Asano: TOWARDS AN ACTION- ORIENTED APPROACH TO THE EVOLUTION OF LANGUAGE AND MUSIC",16,146,"towards an action- oriented approach to the evolution of language and music","Towards an action-oriented approach to the evolution of language and music",1,"Asano",""
"62","Heidi Lyn, Stephanie Jett, Megan Broadway and Mystera Samuelson: NONHUMAN ANIMALS USE OF OSTENSIVE CUES IN AN OBJECT CHOICE TASK",16,173,"nonhuman animals use of ostensive cues in an object choice task","Nonhuman animals’ use of ostensive cues in an object choice task",1,"Lyn, Jett, Broadway, Samuelson","Dogs and bonobos use ostensive cues to follow human gestures, potentially clarifying part of the evolutionary path to language."
"63","David Ardell, Noelle Anderson and Bodo Winter: NOISE IN PHONOLOGY AFFECTS ENCODING STRATEGIES IN MORPHOLOGY",16,165,"noise in phonology affects encoding strategies in morphology","Noise in phonology affects encoding strategies in morphology",0,"Ardell, Anderson, Winter","Noise in Phonology Affects Encoding Strategies in Morphology: exploring effects of noise, population size and structure using Iterated Learning Models"
"64","Vanessa Ferdinand and Matt Spike: WORD LEARNERS REGULARIZE SYNONYMS AND HOMONYMS SIMILARLY",16,82,"word learners regularize synonyms and homonyms similarly","Word learners regularize synonyms and homonyms similarly",0,"Ferdinand, Spike",""
"65","￼￼￼￼Cory Cuthbertson: EMPIRICALLY ASSESSING LINGUISTIC ABILITY WITH STONE TOOLS",17,26,"empirically assessing linguistic ability with stone tools","Empirically assessing linguistic ability with stone tools",0,"Cuthbertson","Stone tool variability indicates cultural transmission style, indicating theory of mind level, indicating necessary linguistic abilities."
"66","Sabrina Engesser, Simon W. Townsend and Amanda R. Ridley: MEANINGFUL CALL COMBINATIONS AND COMPOSITIONAL PROCESSING IN A SOCIAL BIRD",17,3,"meaningful call combinations and compositional processing in a social bird","Meaningful call combinations and compositional processing in a social bird",0,"Engesser, Ridley, Townsend",""
"67","Savithry Namboodiripad, Daniel Lenzen, Ryan Lepic and Tessa Verhoef: MEASURING CONVENTIONALIZATION IN THE MANUAL MODALITY",17,107,"measuring conventionalization in the manual modality","Measuring conventionalization in the manual modality",0,"Namboodiripad, Lenzen, Lepic, Verhoef","Recording a communication game with Kinect, we measured changes in gesture that are the hallmarks of conventionalization in sign language"
"68","Bodo Winter, Lynn Perry, Marcus Perlman and Gary Lupyan: THE STRUCTURE OF ICONICITY IN THE ENGLISH LEXICON",17,21,"the structure of iconicity in the english lexicon","The structure of iconicity in the english lexicon",0,"Winter, Perry, Perlman, Lupyan",""
"69","￼￼Simone Pika: COOPERATIVE COMMUNICATION: WHAT DO PRIMATES AND CORVIDS HAVE TO TELL?",18,56,"cooperative communication what do primates and corvids have to tell?","Cooperative communication: what do primates and corvids have to tell?",1,"Pika",""
"70","Cedric Boeckx, Constantina Theofanopoulou and Antonio Benítez-Burraco: HOW THE BRAIN GOT GRAMMATICALIZED: GLOBULARIZATION AND (SELF-) DOMESTICATION",18,41,"how the brain got grammaticalized globularization and (self-) domestication","How the brain got grammaticalized: globularization and (self-)domestication",2,"Boeckx, Theofanopoulou, Benítez-Burraco",""
"71","Lilia Rissman, Laura Horton, Molly Flaherty, Marie Coppola, Annie Senghas, Diane Brentari and Susan Goldin-Meadow: STRATEGIES IN GESTURE AND SIGN FOR DEMOTING AN AGENT: EFFECTS OF LANGUAGE COMMUNITY AND INPUT",18,158,"strategies in gesture and sign for demoting an agent effects of language community and input","Strategies in gesture and sign for demoting an agent: effects of language community and input ",2,"Rissman, Horton, Flaherty, Coppola, Senghas, Brentari, Goldin-Meadow","Across cohorts of Nicaraguan Sign Language, changes in how signers describe agentive events."
"72","￼Monika Pleyer and Michael Pleyer: THE EVOLUTION OF IM/POLITENESS",18,176,"the evolution of im/politeness","The evolution of im/politeness",0,"Pleyer, Pleyer",""
"73","Katie Collier, Andrew N. Radford, Balthasar Bickel, Marta B. Manser and Simon W. Townsend: DWARF MONGOOSES COMBINE MEANINGFUL ALARM CALLS",19,114,"dwarf mongooses combine meaningful alarm calls","Dwarf mongooses combine meaningful alarm calls",0,"Collier, Radford, Bickel, Manser, Townsend",""
"74","Michael Mcloughlin, Alexis Kirke, Simon Ingram, Eduardo Miranda, Luca Lamoni, Ellen Garland, Luke Rendell and Michael Noad: PRELIMINARY RESULTS FROM A COMPUTATIONAL MULTI AGENT MODELLING APPROACH TO STUDY HUMPBACK WHALE SONG CULTURAL TRANSMISSION",19,131,"preliminary results from a computational multi agent modelling approach to study humpback whale song cultural transmission","Preliminary results from a computational multi agent modelling approach to study humpback whale song cultural transmission",0,"Mcloughlin, Lamoni, Garland, Ingram, Kirke, Noad, Rendell, Miranda","Multi Agent Modelling of Humpback whale song cultural transmission"
"75","James Winters, Simon Kirby and Kenny Smith: SIGNAL AUTONOMY IS SHAPED BY CONTEXTUAL PREDICTABILITY",19,92,"signal autonomy is shaped by contextual predictability","Signal autonomy is shaped by contextual predictability",0,"Winters, Kirby, Smith",""
"76","￼Richard Blythe, Alistair Jones and Jessica Renton: SPONTANEOUS DIALECT FORMATION IN A POPULATION OF LOCALLY ALIGNING AGENTS",19,19,"spontaneous dialect formation in a population of locally aligning agents","Spontaneous dialect formation in a population of locally aligning agents",0,"Blythe, Jones, Renton",""
"77","￼Irene M. Pepperberg, Katia Zilber- Izhar and Scott Smith: PARROT ""PHONOLOGICAL REGRESSION"": EXPANDING OUR UNDERSTANDING OF THE EVOLUTION OF VOCAL LEARNING",20,5,"parrot ""phonological regression"" expanding our understanding of the evolution of vocal learning","Parrot "" phonological regression"": expanding our understanding of the evolution of vocal learning",2,"Pepperberg, Zilber-Izhar, Smith","A Grey parrot demonstrates phonological regression very similar to that of some young children during early label acquisition."
"78","JérômeMichaud: LINKING THE PROCESSES OF LANGUAGE EVOLUTION AND LANGUAGE CHANGE: A FIVE-LEVEL HIERARCHY",20,52,"linking the processes of language evolution and language change a five-level hierarchy","Linking the processes of language evolution and language change: a five-level hierarchy",1,"Michaud",""
"79","Justin Sulik and Gary Lupyan: FAILURES OF PERSPECTIVE TAKING IN AN OPEN-ENDED SIGNALING TASK",20,103,"failures of perspective taking in an open-ended signaling task","Failures of perspective taking in an open-ended signaling task",0,"Sulik, Lupyan",""
"80","￼Deborah Kerr and Kenny Smith: THE SPONTANEOUS EMERGENCE OF LINGUISTIC DIVERSITY IN AN ARTIFICIAL LANGUAGE",20,112,"the spontaneous emergence of linguistic diversity in an artificial language","The spontaneous emergence of linguistic diversity in an artificial language",0,"Kerr, Smith","Artificial language learning in social groups, evolution of linguistic diversity even with no functional pressure for social differentiation"
"81","￼￼￼Greg Bryant: HOW DO LAUGHTER AND LANGUAGE INTERACT?",21,203,"how do laughter and language interact?","How do laughter and language interact?",0,"Bryant","Studies examining the interaction of human laughter with spontaneous language use reveal aspects of laughter's evolved function"
"82","Ruth Sonnweber and Andrea Ravignani: CHIMPANZEES PROCESS STRUCTURAL ISOMORPHISMS ACROSS SENSORY MODALITIES",21,76,"chimpanzees process structural isomorphisms across sensory modalities","Chimpanzees process structural isomorphisms across sensory modalities",0,"Sonnweber, Ravignani",""
"83","Sander Lestrade: THE EMERGENCE OF ARGUMENT MARKING",21,36,"the emergence of argument marking","The emergence of argument marking",0,"Lestrade","The emergence of grammatical role marking and person indexing from lexical ad hoc solutions is modeled in a multi-agent computer simulation."
